Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Wes_Powell,Wes,Powell,NoDad,NoBro,NoBro,Unrelated,17.26,8.67,-8.59,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,0
Wilson_Powell,Wilson,Powell,NoDad,NoBro,NoBro,Unrelated,14.76,8.67,-6.09,321,46.98,2818.8,48,0,0,0,1,0,0,0,0,2
Abrams_YoYo,Abrams,YoYo,NoDad,NoBro,NoBro,Unrelated,14.76,8.67,-6.09,297,42.85,2571,45,0,0,0,1,0,0,0,0,4
Barron_YoYo,Barron,YoYo,NoDad,NoBro,NoBro,Unrelated,13.51,8.67,-4.84,283,41.91,2514.6,45,1,0,1,3,0,0,0,0,2
Benny_YoYo,Benny,YoYo,NoDad,MatBro,Bro,MatBro,14.26,8.67,-5.59,314,43.22,2593.2,45,3,6,9,15,0,0,0,0,25
Booker_YoYo,Booker,YoYo,NoDad,NoBro,NoBro,Unrelated,12.39,8.67,-3.72,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,0
Buckner_YoYo,Buckner,YoYo,NoDad,NoBro,NoBro,Unrelated,14.68,8.67,-6.01,298,41.71,2502.6,45,0,0,0,2,0,0,0,0,18
Django_YoYo,Django,YoYo,NoDad,NoBro,NoBro,Unrelated,17.68,8.67,-9.01,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,0
Erroll_YoYo,Erroll,YoYo,NoDad,NoBro,NoBro,Unrelated,12.67,8.67,-4,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_YoYo,Evans,YoYo,NoDad,NoBro,NoBro,Unrelated,18.68,8.67,-10.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,0
Haden_YoYo,Haden,YoYo,NoDad,NoBro,NoBro,Unrelated,15.68,8.67,-7.01,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,0
Hawkins_YoYo,Hawkins,YoYo,NoDad,NoBro,NoBro,Unrelated,19.68,8.67,-11.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
